clerk_name	sale_date	sale_amt
Steven	1995-03-24 00:00:00	1837
Harry	1995-03-24 00:00:00	3904
Bill	1995-03-24 00:00:00	3972
Johnson	1995-03-25 00:00:00	2790
Larry	1995-03-25 00:00:00	4646
Dow	1995-03-25 00:00:00	897
Jenny	1995-03-25 00:00:00	1890
Baker	1995-03-25 00:00:00	682
Mary	1995-03-25 00:00:00	4383
Tom	1995-03-25 00:00:00	2521
Steven	1995-03-25 00:00:00	4865
Harry	1995-03-25 00:00:00	4809
Bill	1995-03-25 00:00:00	2409
Johnson	1995-03-26 00:00:00	393
Larry	1995-03-26 00:00:00	3037
Dow	1995-03-26 00:00:00	4818
Jenny	1995-03-26 00:00:00	4154
Baker	1995-03-26 00:00:00	75
Mary	1995-03-26 00:00:00	1536
Tom	1995-03-26 00:00:00	3345
Steven	1995-03-26 00:00:00	1604
Harry	1995-03-26 00:00:00	487
Bill	1995-03-26 00:00:00	3406
Johnson	1995-03-27 00:00:00	4773
Larry	1995-03-27 00:00:00	767
Dow	1995-03-27 00:00:00	4080
Jenny	1995-03-27 00:00:00	3205
Baker	1995-03-27 00:00:00	2464
Mary	1995-03-27 00:00:00	4448
Tom	1995-03-27 00:00:00	664
Steven	1995-03-27 00:00:00	3165
Harry	1995-03-27 00:00:00	4904
Bill	1995-03-27 00:00:00	196
Johnson	1995-03-28 00:00:00	4586
Larry	1995-03-28 00:00:00	4324
Dow	1995-03-28 00:00:00	4540
Jenny	1995-03-28 00:00:00	1090
Baker	1995-03-28 00:00:00	1175
Mary	1995-03-28 00:00:00	1358
Tom	1995-03-28 00:00:00	3525
Steven	1995-03-28 00:00:00	3084
Harry	1995-03-28 00:00:00	4209
Bill	1995-03-28 00:00:00	1921
Johnson	1995-03-29 00:00:00	3049
Larry	1995-03-29 00:00:00	2020
Dow	1995-03-29 00:00:00	1491
Jenny	1995-03-29 00:00:00	4192
Baker	1995-03-29 00:00:00	2365
Johnson	1995-01-01 00:00:00	349
Johnson	1995-02-20 00:00:00	2792
Larry	1995-02-20 00:00:00	3324
Dow	1995-02-20 00:00:00	2956
Jenny	1995-02-20 00:00:00	4889
Baker	1995-02-20 00:00:00	1274
Mary	1995-02-20 00:00:00	978
Tom	1995-02-20 00:00:00	185
Steven	1995-02-20 00:00:00	4857
Harry	1995-02-20 00:00:00	1742
Bill	1995-02-20 00:00:00	4319
Johnson	1995-02-21 00:00:00	4715
Larry	1995-02-21 00:00:00	4608
Dow	1995-02-21 00:00:00	383
Jenny	1995-02-21 00:00:00	3799
Baker	1995-02-21 00:00:00	275
Mary	1995-02-21 00:00:00	1759
Tom	1995-02-21 00:00:00	4150
Steven	1995-02-21 00:00:00	672
Harry	1995-02-21 00:00:00	340
Bill	1995-02-21 00:00:00	3646
Johnson	1995-02-22 00:00:00	3402
Larry	1995-02-22 00:00:00	1097
Dow	1995-02-22 00:00:00	417
Jenny	1995-02-22 00:00:00	5
Baker	1995-02-22 00:00:00	2059
Mary	1995-02-22 00:00:00	2450
Tom	1995-02-22 00:00:00	4237
Steven	1995-02-22 00:00:00	2969
Harry	1995-02-22 00:00:00	108
Bill	1995-02-22 00:00:00	3675
Johnson	1995-02-23 00:00:00	4134
Larry	1995-02-23 00:00:00	933
Dow	1995-02-23 00:00:00	3439
Jenny	1995-02-23 00:00:00	2978
Baker	1995-02-23 00:00:00	2720
Mary	1995-02-23 00:00:00	1529
Tom	1995-02-23 00:00:00	767
Steven	1995-02-23 00:00:00	3413
Harry	1995-02-23 00:00:00	1811
Bill	1995-02-23 00:00:00	1012
Johnson	1995-02-24 00:00:00	1568
Larry	1995-02-24 00:00:00	4932
Dow	1995-02-24 00:00:00	468
Jenny	1995-02-24 00:00:00	2619
Baker	1995-02-24 00:00:00	2791
Mary	1995-02-24 00:00:00	314
Tom	1995-02-24 00:00:00	1888
Steven	1995-02-24 00:00:00	76
Harry	1995-02-24 00:00:00	365
Bill	1995-02-24 00:00:00	1945
Johnson	1995-02-25 00:00:00	3876
Larry	1995-02-25 00:00:00	4253
Dow	1995-02-25 00:00:00	4406
Jenny	1995-02-25 00:00:00	1827
Baker	1995-02-25 00:00:00	4563
Mary	1995-02-25 00:00:00	1137
Tom	1995-02-25 00:00:00	4346
Steven	1995-02-25 00:00:00	3333
Harry	1995-02-25 00:00:00	4075
Bill	1995-02-25 00:00:00	2716
Johnson	1995-02-26 00:00:00	2146
Larry	1995-02-26 00:00:00	179
Dow	1995-02-26 00:00:00	3879
Jenny	1995-02-26 00:00:00	4033
Baker	1995-02-26 00:00:00	3167
Mary	1995-02-26 00:00:00	781
Tom	1995-02-26 00:00:00	3613
Steven	1995-02-26 00:00:00	4712
Harry	1995-02-26 00:00:00	233
Bill	1995-02-26 00:00:00	4693
Johnson	1995-02-27 00:00:00	308
Larry	1995-02-27 00:00:00	1476
Dow	1995-02-27 00:00:00	1929
Jenny	1995-02-27 00:00:00	2085
Baker	1995-02-27 00:00:00	2045
Mary	1995-02-27 00:00:00	4751
Tom	1995-02-27 00:00:00	1173
Steven	1995-02-27 00:00:00	2294
Harry	1995-02-27 00:00:00	2237
Bill	1995-02-27 00:00:00	2269
Johnson	1995-02-28 00:00:00	4697
Larry	1995-02-28 00:00:00	3308
Dow	1995-02-28 00:00:00	1963
Jenny	1995-02-28 00:00:00	698
Baker	1995-02-28 00:00:00	3117
Mary	1995-02-28 00:00:00	706
Tom	1995-02-28 00:00:00	961
Steven	1995-02-28 00:00:00	2721
Harry	1995-02-28 00:00:00	4917
Bill	1995-02-28 00:00:00	1935
Johnson	1995-03-01 00:00:00	3182
Larry	1995-03-01 00:00:00	1640
Dow	1995-03-01 00:00:00	818
Jenny	1995-03-01 00:00:00	37
Baker	1995-03-01 00:00:00	76
Mary	1995-03-01 00:00:00	3570
Tom	1995-03-01 00:00:00	2673
Steven	1995-03-01 00:00:00	4883
Harry	1995-03-01 00:00:00	4115
Bill	1995-03-01 00:00:00	3484
Johnson	1995-03-02 00:00:00	3246
Larry	1995-03-02 00:00:00	4732
Dow	1995-03-02 00:00:00	1398
Jenny	1995-03-02 00:00:00	920
Baker	1995-03-02 00:00:00	4987
Mary	1995-03-02 00:00:00	1461
Tom	1995-03-02 00:00:00	583
Steven	1995-03-02 00:00:00	3937
Harry	1995-03-02 00:00:00	2170
Bill	1995-03-02 00:00:00	4130
Johnson	1995-03-03 00:00:00	787
Larry	1995-03-03 00:00:00	996
Dow	1995-03-03 00:00:00	1581
Jenny	1995-03-03 00:00:00	2631
Baker	1995-03-03 00:00:00	3558
Mary	1995-03-03 00:00:00	4795
Tom	1995-03-03 00:00:00	2282
Steven	1995-03-03 00:00:00	1073
Harry	1995-03-03 00:00:00	3495
Bill	1995-03-03 00:00:00	4746
Johnson	1995-03-04 00:00:00	4818
Larry	1995-03-04 00:00:00	4158
Dow	1995-03-04 00:00:00	3593
Jenny	1995-03-04 00:00:00	679
Baker	1995-03-04 00:00:00	4683
Mary	1995-02-07 00:00:00	4416
Tom	1995-02-07 00:00:00	3513
Steven	1995-02-07 00:00:00	2644
Harry	1995-02-07 00:00:00	704
Bill	1995-02-07 00:00:00	2568
Johnson	1995-02-08 00:00:00	1431
Larry	1995-02-08 00:00:00	2292
Dow	1995-02-08 00:00:00	1631
Jenny	1995-02-08 00:00:00	1366
Baker	1995-02-08 00:00:00	1500
Mary	1995-02-08 00:00:00	471
Tom	1995-02-08 00:00:00	4542
Steven	1995-02-08 00:00:00	946
Harry	1995-02-08 00:00:00	3666
Bill	1995-02-08 00:00:00	1438
Johnson	1995-02-09 00:00:00	4301
Larry	1995-02-09 00:00:00	2350
Dow	1995-02-09 00:00:00	2082
Jenny	1995-02-09 00:00:00	302
Baker	1995-02-09 00:00:00	4727
Mary	1995-02-09 00:00:00	1992
Tom	1995-02-09 00:00:00	4133
Steven	1995-02-09 00:00:00	3363
Harry	1995-02-09 00:00:00	1961
Bill	1995-02-09 00:00:00	1783
Johnson	1995-02-10 00:00:00	4472
Larry	1995-02-10 00:00:00	425
Dow	1995-02-10 00:00:00	3672
Jenny	1995-02-10 00:00:00	4414
Baker	1995-02-10 00:00:00	791
Mary	1995-02-10 00:00:00	2870
Tom	1995-02-10 00:00:00	437
Steven	1995-02-10 00:00:00	2037
Harry	1995-02-10 00:00:00	2773
Bill	1995-02-10 00:00:00	3505
Johnson	1995-02-11 00:00:00	4467
Larry	1995-02-11 00:00:00	3586
Dow	1995-02-11 00:00:00	4891
Jenny	1995-02-11 00:00:00	2225
Baker	1995-02-11 00:00:00	1748
Mary	1995-02-11 00:00:00	1291
Tom	1995-02-11 00:00:00	2530
Steven	1995-02-11 00:00:00	368
Harry	1995-02-11 00:00:00	1582
Bill	1995-02-11 00:00:00	506
Johnson	1995-02-12 00:00:00	4168
Larry	1995-02-12 00:00:00	1218
Dow	1995-02-12 00:00:00	2435
Jenny	1995-02-12 00:00:00	3846
Baker	1995-02-12 00:00:00	237
Mary	1995-02-12 00:00:00	4488
Tom	1995-02-12 00:00:00	19
Steven	1995-02-12 00:00:00	756
Harry	1995-02-12 00:00:00	1611
Bill	1995-02-12 00:00:00	3777
Johnson	1995-02-13 00:00:00	2494
Larry	1995-02-13 00:00:00	2057
Dow	1995-02-13 00:00:00	2601
Jenny	1995-02-13 00:00:00	2936
Baker	1995-02-13 00:00:00	3771
Mary	1995-02-13 00:00:00	751
Tom	1995-02-13 00:00:00	4742
Steven	1995-02-13 00:00:00	4982
Harry	1995-02-13 00:00:00	3905
Bill	1995-02-13 00:00:00	283
Johnson	1995-02-14 00:00:00	3635
Larry	1995-02-14 00:00:00	733
Dow	1995-02-14 00:00:00	736
Jenny	1995-02-14 00:00:00	4814
Baker	1995-02-14 00:00:00	1599
Mary	1995-02-14 00:00:00	3571
Tom	1995-02-14 00:00:00	4015
Steven	1995-02-14 00:00:00	2525
Harry	1995-02-14 00:00:00	3896
Bill	1995-02-14 00:00:00	1853
Johnson	1995-02-15 00:00:00	2451
Larry	1995-02-15 00:00:00	2857
Dow	1995-02-15 00:00:00	873
Jenny	1995-02-15 00:00:00	1298
Baker	1995-02-15 00:00:00	289
Mary	1995-02-15 00:00:00	1669
Tom	1995-02-15 00:00:00	2435
Steven	1995-02-15 00:00:00	1328
Harry	1995-02-15 00:00:00	3284
Bill	1995-02-15 00:00:00	4711
Johnson	1995-02-16 00:00:00	4878
Larry	1995-02-16 00:00:00	1729
Dow	1995-02-16 00:00:00	4159
Jenny	1995-02-16 00:00:00	4467
Baker	1995-02-16 00:00:00	3278
Mary	1995-02-16 00:00:00	4199
Tom	1995-02-16 00:00:00	4959
Steven	1995-02-16 00:00:00	3379
Harry	1995-02-16 00:00:00	300
Bill	1995-02-16 00:00:00	2326
Johnson	1995-02-17 00:00:00	3008
Larry	1995-02-17 00:00:00	2703
Dow	1995-02-17 00:00:00	4495
Jenny	1995-02-17 00:00:00	3262
Baker	1995-02-17 00:00:00	3545
Mary	1995-02-17 00:00:00	764
Tom	1995-02-17 00:00:00	2923
Steven	1995-02-17 00:00:00	4927
Harry	1995-02-17 00:00:00	504
Bill	1995-02-17 00:00:00	2171
Johnson	1995-02-18 00:00:00	4184
Larry	1995-02-18 00:00:00	3860
Dow	1995-02-18 00:00:00	2280
Jenny	1995-02-18 00:00:00	635
Baker	1995-02-18 00:00:00	3763
Mary	1995-02-18 00:00:00	954
Tom	1995-02-18 00:00:00	1829
Steven	1995-02-18 00:00:00	2396
Harry	1995-02-18 00:00:00	3932
Bill	1995-02-18 00:00:00	163
Johnson	1995-02-19 00:00:00	4872
Larry	1995-02-19 00:00:00	4892
Dow	1995-02-19 00:00:00	306
Jenny	1995-02-19 00:00:00	3953
Baker	1995-02-19 00:00:00	1521
Mary	1995-02-19 00:00:00	1254
Tom	1995-02-19 00:00:00	1567
Steven	1995-02-19 00:00:00	3681
Harry	1995-02-19 00:00:00	150
Bill	1995-02-19 00:00:00	386
Mary	1995-03-04 00:00:00	4315
Tom	1995-03-04 00:00:00	4938
Steven	1995-03-04 00:00:00	4580
Harry	1995-03-04 00:00:00	3741
Bill	1995-03-04 00:00:00	2507
Johnson	1995-03-05 00:00:00	957
Larry	1995-03-05 00:00:00	4654
Dow	1995-03-05 00:00:00	1786
Jenny	1995-03-05 00:00:00	1682
Baker	1995-03-05 00:00:00	4001
Mary	1995-03-05 00:00:00	1768
Tom	1995-03-05 00:00:00	3421
Steven	1995-03-05 00:00:00	3583
Harry	1995-03-05 00:00:00	1713
Bill	1995-03-05 00:00:00	2364
Johnson	1995-03-06 00:00:00	2952
Larry	1995-03-06 00:00:00	2224
Dow	1995-03-06 00:00:00	2263
Jenny	1995-03-06 00:00:00	4297
Baker	1995-03-06 00:00:00	2037
Mary	1995-03-06 00:00:00	657
Tom	1995-03-06 00:00:00	1247
Steven	1995-03-06 00:00:00	2613
Harry	1995-03-06 00:00:00	1447
Bill	1995-03-06 00:00:00	1815
Johnson	1995-03-07 00:00:00	3772
Larry	1995-03-07 00:00:00	1220
Dow	1995-03-07 00:00:00	4390
Jenny	1995-03-07 00:00:00	4077
Baker	1995-03-07 00:00:00	3005
Mary	1995-03-07 00:00:00	3550
Tom	1995-03-07 00:00:00	4503
Steven	1995-03-07 00:00:00	2940
Harry	1995-03-07 00:00:00	1249
Bill	1995-03-07 00:00:00	770
Johnson	1995-03-08 00:00:00	1799
Larry	1995-03-08 00:00:00	1614
Dow	1995-03-08 00:00:00	1447
Jenny	1995-03-08 00:00:00	4852
Baker	1995-03-08 00:00:00	4582
Mary	1995-03-08 00:00:00	625
Tom	1995-03-08 00:00:00	844
Steven	1995-03-08 00:00:00	788
Harry	1995-03-08 00:00:00	4550
Bill	1995-03-08 00:00:00	4541
Johnson	1995-03-09 00:00:00	4451
Larry	1995-03-09 00:00:00	2590
Dow	1995-03-09 00:00:00	1132
Jenny	1995-03-09 00:00:00	2748
Baker	1995-03-09 00:00:00	3829
Mary	1995-03-09 00:00:00	1242
Tom	1995-03-09 00:00:00	4357
Steven	1995-03-09 00:00:00	792
Harry	1995-03-09 00:00:00	1703
Bill	1995-03-09 00:00:00	4665
Johnson	1995-03-10 00:00:00	3426
Larry	1995-03-10 00:00:00	4196
Dow	1995-03-10 00:00:00	4857
Jenny	1995-03-10 00:00:00	4881
Baker	1995-03-10 00:00:00	523
Mary	1995-03-10 00:00:00	2792
Tom	1995-03-10 00:00:00	1793
Steven	1995-03-10 00:00:00	993
Harry	1995-03-10 00:00:00	1276
Bill	1995-03-10 00:00:00	582
Johnson	1995-03-11 00:00:00	2661
Larry	1995-03-11 00:00:00	3295
Dow	1995-03-11 00:00:00	4738
Jenny	1995-03-11 00:00:00	3816
Baker	1995-03-11 00:00:00	2049
Mary	1995-03-11 00:00:00	3828
Tom	1995-03-11 00:00:00	1710
Steven	1995-03-11 00:00:00	3521
Harry	1995-03-11 00:00:00	325
Bill	1995-03-11 00:00:00	1928
Johnson	1995-03-12 00:00:00	706
Larry	1995-03-12 00:00:00	2972
Dow	1995-03-12 00:00:00	1344
Jenny	1995-03-12 00:00:00	4912
Baker	1995-03-12 00:00:00	916
Mary	1995-03-12 00:00:00	655
Tom	1995-03-12 00:00:00	3511
Steven	1995-03-12 00:00:00	3828
Harry	1995-03-12 00:00:00	1045
Bill	1995-03-12 00:00:00	148
Johnson	1995-03-13 00:00:00	2391
Larry	1995-03-13 00:00:00	2333
Dow	1995-03-13 00:00:00	2019
Jenny	1995-03-13 00:00:00	4923
Baker	1995-03-13 00:00:00	1257
Mary	1995-03-13 00:00:00	3160
Tom	1995-03-13 00:00:00	152
Steven	1995-03-13 00:00:00	3533
Harry	1995-03-13 00:00:00	1272
Bill	1995-03-13 00:00:00	1267
Johnson	1995-03-14 00:00:00	519
Larry	1995-03-14 00:00:00	3790
Dow	1995-03-14 00:00:00	238
Jenny	1995-03-14 00:00:00	782
Baker	1995-03-14 00:00:00	2973
Mary	1995-03-14 00:00:00	3545
Tom	1995-03-14 00:00:00	3214
Steven	1995-03-14 00:00:00	4016
Harry	1995-03-14 00:00:00	438
Bill	1995-03-14 00:00:00	408
Johnson	1995-03-15 00:00:00	4620
Larry	1995-03-15 00:00:00	405
Dow	1995-03-15 00:00:00	866
Jenny	1995-03-15 00:00:00	3284
Baker	1995-03-15 00:00:00	4856
Mary	1995-03-15 00:00:00	988
Tom	1995-03-15 00:00:00	513
Steven	1995-03-15 00:00:00	4934
Harry	1995-03-15 00:00:00	4867
Bill	1995-03-15 00:00:00	129
Johnson	1995-03-16 00:00:00	2005
Larry	1995-03-16 00:00:00	1828
Dow	1995-03-16 00:00:00	4517
Jenny	1995-03-16 00:00:00	551
Baker	1995-03-16 00:00:00	984
Mary	1995-03-16 00:00:00	472
Tom	1995-03-16 00:00:00	156
Steven	1995-03-16 00:00:00	390
Harry	1995-03-16 00:00:00	12
Bill	1995-03-16 00:00:00	3007
Johnson	1995-03-17 00:00:00	3217
Larry	1995-01-01 00:00:00	3432
Dow	1995-01-01 00:00:00	4695
Jenny	1995-01-01 00:00:00	2575
Baker	1995-01-01 00:00:00	2310
Mary	1995-01-01 00:00:00	279
Tom	1995-01-01 00:00:00	2551
Steven	1995-01-01 00:00:00	3963
Harry	1995-01-01 00:00:00	3328
Bill	1995-01-01 00:00:00	16
Johnson	1995-01-02 00:00:00	2362
Larry	1995-01-02 00:00:00	4354
Dow	1995-01-02 00:00:00	4856
Jenny	1995-01-02 00:00:00	4961
Baker	1995-01-02 00:00:00	742
Mary	1995-01-02 00:00:00	1108
Tom	1995-01-02 00:00:00	2658
Steven	1995-01-02 00:00:00	1666
Harry	1995-01-02 00:00:00	380
Bill	1995-01-02 00:00:00	1938
Johnson	1995-01-03 00:00:00	2548
Larry	1995-01-03 00:00:00	4807
Dow	1995-01-03 00:00:00	2727
Jenny	1995-01-03 00:00:00	375
Baker	1995-01-03 00:00:00	2638
Mary	1995-01-03 00:00:00	4501
Tom	1995-01-03 00:00:00	3294
Steven	1995-01-03 00:00:00	1597
Harry	1995-01-03 00:00:00	2910
Bill	1995-01-03 00:00:00	2493
Johnson	1995-01-04 00:00:00	3307
Larry	1995-01-04 00:00:00	3077
Dow	1995-01-04 00:00:00	1750
Jenny	1995-01-04 00:00:00	1492
Baker	1995-01-04 00:00:00	4349
Mary	1995-01-04 00:00:00	3086
Tom	1995-01-04 00:00:00	2340
Steven	1995-01-04 00:00:00	1513
Harry	1995-01-04 00:00:00	2562
Bill	1995-01-04 00:00:00	1949
Johnson	1995-01-05 00:00:00	4669
Larry	1995-01-05 00:00:00	2476
Dow	1995-01-05 00:00:00	975
Jenny	1995-01-05 00:00:00	1070
Baker	1995-01-05 00:00:00	1291
Mary	1995-01-05 00:00:00	3456
Tom	1995-01-05 00:00:00	2529
Steven	1995-01-05 00:00:00	3208
Harry	1995-01-05 00:00:00	1841
Bill	1995-01-05 00:00:00	919
Johnson	1995-01-06 00:00:00	2394
Larry	1995-01-06 00:00:00	4151
Dow	1995-01-06 00:00:00	2771
Jenny	1995-01-06 00:00:00	1005
Baker	1995-01-06 00:00:00	1277
Mary	1995-01-06 00:00:00	935
Tom	1995-01-06 00:00:00	4711
Steven	1995-01-06 00:00:00	4415
Harry	1995-01-06 00:00:00	1485
Bill	1995-01-06 00:00:00	33
Johnson	1995-01-07 00:00:00	369
Larry	1995-01-07 00:00:00	1738
Dow	1995-01-07 00:00:00	4662
Jenny	1995-01-07 00:00:00	463
Baker	1995-01-07 00:00:00	901
Mary	1995-01-07 00:00:00	2132
Tom	1995-01-07 00:00:00	4296
Steven	1995-01-07 00:00:00	1610
Harry	1995-01-07 00:00:00	3232
Bill	1995-01-07 00:00:00	4090
Johnson	1995-01-08 00:00:00	2245
Larry	1995-01-08 00:00:00	3672
Dow	1995-01-08 00:00:00	4914
Jenny	1995-01-08 00:00:00	3687
Baker	1995-01-08 00:00:00	1817
Mary	1995-01-08 00:00:00	5
Tom	1995-01-08 00:00:00	1701
Steven	1995-01-08 00:00:00	3068
Harry	1995-01-08 00:00:00	140
Bill	1995-01-08 00:00:00	353
Johnson	1995-01-09 00:00:00	1186
Larry	1995-01-09 00:00:00	164
Dow	1995-01-09 00:00:00	4897
Jenny	1995-01-09 00:00:00	1861
Baker	1995-01-09 00:00:00	3535
Mary	1995-01-09 00:00:00	4569
Tom	1995-01-09 00:00:00	4788
Steven	1995-01-09 00:00:00	1050
Harry	1995-01-09 00:00:00	2530
Bill	1995-01-09 00:00:00	4259
Johnson	1995-01-10 00:00:00	4445
Larry	1995-01-10 00:00:00	4401
Dow	1995-01-10 00:00:00	1919
Jenny	1995-01-10 00:00:00	3400
Baker	1995-01-10 00:00:00	2921
Mary	1995-01-10 00:00:00	3039
Tom	1995-01-10 00:00:00	3315
Steven	1995-01-10 00:00:00	2758
Harry	1995-01-10 00:00:00	272
Bill	1995-01-10 00:00:00	3052
Johnson	1995-01-11 00:00:00	2700
Larry	1995-01-11 00:00:00	1347
Dow	1995-01-11 00:00:00	4202
Jenny	1995-01-11 00:00:00	2358
Baker	1995-01-11 00:00:00	2934
Mary	1995-01-11 00:00:00	840
Tom	1995-01-11 00:00:00	3228
Steven	1995-01-11 00:00:00	2672
Harry	1995-01-11 00:00:00	4532
Bill	1995-01-11 00:00:00	2880
Johnson	1995-01-12 00:00:00	4317
Larry	1995-01-12 00:00:00	1046
Dow	1995-01-12 00:00:00	1368
Jenny	1995-01-12 00:00:00	3914
Baker	1995-01-12 00:00:00	1495
Mary	1995-01-12 00:00:00	4655
Tom	1995-01-12 00:00:00	1892
Steven	1995-01-12 00:00:00	2366
Harry	1995-01-12 00:00:00	2504
Bill	1995-01-12 00:00:00	1
Johnson	1995-01-13 00:00:00	4937
Larry	1995-01-13 00:00:00	3967
Dow	1995-01-13 00:00:00	3167
Jenny	1995-01-13 00:00:00	3454
Baker	1995-01-13 00:00:00	2132
Mary	1995-01-13 00:00:00	2862
Tom	1995-01-13 00:00:00	3785
Steven	1995-01-13 00:00:00	4116
Harry	1995-01-13 00:00:00	1526
Bill	1995-01-13 00:00:00	3644
Johnson	1995-01-14 00:00:00	3510
Larry	1995-01-14 00:00:00	2309
Dow	1995-01-14 00:00:00	4027
Jenny	1995-01-14 00:00:00	2849
Baker	1995-01-14 00:00:00	2399
Mary	1995-01-14 00:00:00	2606
Tom	1995-01-14 00:00:00	879
Steven	1995-01-14 00:00:00	2536
Harry	1995-01-14 00:00:00	1507
Bill	1995-01-14 00:00:00	4213
Johnson	1995-01-15 00:00:00	1512
Larry	1995-01-15 00:00:00	3506
Dow	1995-01-15 00:00:00	4196
Jenny	1995-01-15 00:00:00	3684
Baker	1995-01-15 00:00:00	1751
Mary	1995-01-15 00:00:00	1398
Tom	1995-01-15 00:00:00	1594
Steven	1995-01-15 00:00:00	402
Harry	1995-01-15 00:00:00	2530
Bill	1995-01-15 00:00:00	361
Johnson	1995-01-16 00:00:00	1978
Larry	1995-01-16 00:00:00	3998
Dow	1995-01-16 00:00:00	4010
Jenny	1995-01-16 00:00:00	1265
Baker	1995-01-16 00:00:00	2688
Mary	1995-01-16 00:00:00	4900
Tom	1995-01-16 00:00:00	4202
Steven	1995-01-16 00:00:00	4432
Harry	1995-01-16 00:00:00	4077
Bill	1995-01-16 00:00:00	4486
Johnson	1995-01-17 00:00:00	4988
Larry	1995-01-17 00:00:00	696
Dow	1995-01-17 00:00:00	2917
Jenny	1995-01-17 00:00:00	4916
Baker	1995-01-17 00:00:00	1756
Mary	1995-01-17 00:00:00	4188
Tom	1995-01-17 00:00:00	2626
Steven	1995-01-17 00:00:00	563
Harry	1995-01-17 00:00:00	654
Bill	1995-01-17 00:00:00	610
Johnson	1995-01-18 00:00:00	4644
Larry	1995-01-18 00:00:00	3109
Dow	1995-01-18 00:00:00	4899
Jenny	1995-01-18 00:00:00	944
Baker	1995-01-18 00:00:00	4323
Mary	1995-01-18 00:00:00	796
Tom	1995-01-18 00:00:00	3420
Steven	1995-01-18 00:00:00	2447
Harry	1995-01-18 00:00:00	704
Bill	1995-01-18 00:00:00	4025
Johnson	1995-01-19 00:00:00	1578
Larry	1995-01-19 00:00:00	1530
Dow	1995-01-19 00:00:00	2660
Jenny	1995-01-19 00:00:00	4483
Baker	1995-01-19 00:00:00	4659
Mary	1995-01-19 00:00:00	1615
Tom	1995-01-19 00:00:00	3948
Steven	1995-01-19 00:00:00	3235
Harry	1995-01-19 00:00:00	325
Bill	1995-01-19 00:00:00	3324
Johnson	1995-01-20 00:00:00	1884
Larry	1995-01-20 00:00:00	4789
Dow	1995-01-20 00:00:00	1237
Jenny	1995-01-20 00:00:00	4457
Baker	1995-01-20 00:00:00	3493
Mary	1995-01-20 00:00:00	3945
Tom	1995-01-20 00:00:00	3622
Steven	1995-01-20 00:00:00	3016
